"pathway","NES","padj","permutation","n_overlap_with_biologic","dropped_ids"
"HALLMARK_INFLAMMATORY_RESPONSE",0.995367312110448,0.612956571757262,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_COMPLEMENT",-0.957378131433272,0.736692015209126,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_ALLOGRAFT_REJECTION",-0.818158958561764,0.934782608695652,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_E2F_TARGETS",-3.23976977044277,1.21568758507715e-30,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-3.10658026549814,2.66294258520271e-26,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",-2.4845137650856,2.07548711788531e-13,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.75661601513182,8.60721752997302e-05,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.94815423584223,0.000137560424278558,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.79735635783507,0.00123862097532787,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",-1.15875662431644,0.252293577981651,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",-0.83906469598974,0.977430555555556,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",0.702008643808619,0.996710526315789,9,3,"TCGA-AA-3680/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-AZ-4684/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.53057264261106,3.91764360204435e-14,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",-1.91730316110618,4.33835243660655e-06,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.12565656119967,1.2227645472795e-05,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.76883017047206,2.52824012008494e-05,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-1.71369605229716,9.76896217284199e-05,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",-1.67557089898763,0.00027367180046518,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-1.63028995006517,0.000763656127755909,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.66861835914773,0.0123561867206628,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",-1.05291326932832,0.456370938298649,10,5,"TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-A016/TCGA-AZ-4682/TCGA-CI-6620/TCGA-F5-6702/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-2.7148081879116,1.50574701340547e-18,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_G2M_CHECKPOINT",-2.56456953173189,3.04374633375502e-15,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.21732259644235,1.44597478020187e-09,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.99424846967802,6.89527036289331e-05,11,4,"TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AG-3999/TCGA-AG-A016/TCGA-AZ-6600/TCGA-NH-A6GA/TCGA-NH-A6GB"
